GCF_011397855.1	Pseudomonas_otitidis
GCF_000412675.1	Pseudomonas_putida_NBRC_14164
GCF_902374465.1	Ralstonia_pickettii
GCF_901421005.1	Raoultella_ornithinolytica
GCF_022637595.1	Raoultella_planticola
GCF_013588055.1	Salmonella_bongori
GCF_000439255.1	Salmonella_bongori_N268-08
GCF_011388235.1	Salmonella_enterica
GCF_000006945.2	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2
GCF_003516165.1	Serratia_marcescens
GCF_004768745.1	Serratia_nematodiphila
GCF_002290485.1	Shigella_boydii
GCF_022354085.1	Shigella_dysenteriae
GCF_000006925.2	Shigella_flexneri_2a_str._301
GCF_013374815.1	Shigella_sonnei
GCF_000013425.1	Staphylococcus_aureus_subsp._aureus_NCTC_8325
GCF_900475405.1	Stenotrophomonas_maltophilia
GCF_001412635.1	Streptococcus_anginosus
GCF_016724885.1	Streptococcus_dysgalactiae
GCF_002076835.1	Streptococcus_pneumoniae
GCF_000221985.1	Streptococcus_pseudopneumoniae
GCF_900475035.1	Streptococcus_pyogenes
GCF_009665435.1	Vibrio_alginolyticus
GCA_023650915.1	Vibrio_alginolyticus
GCF_009665515.2	Vibrio_cholerae
GCF_008369605.1	Vibrio_cholerae
GCF_009665415.1	Vibrio_cidicii
GCF_009665395.1	Vibrio_cincinnatiensis
GCF_009665355.1	Vibrio_fluvialis
GCF_009665335.1	Vibrio_furnissii
GCF_009665315.1	Vibrio_harveyi
GCF_009665255.1	Vibrio_metoecus
GCF_009665275.1	Vibrio_metoecus
GCF_009665235.1	Vibrio_metschnikovii
GCF_009665195.1	Vibrio_mimicus
GCF_000176375.1	Vibrio_mimicus_MB451
GCF_009665215.1	Vibrio_navarrensis
GCF_012275065.1	Vibrio_navarrensis
GCA_003311965.1	Vibrio_paracholerae
GCF_009665495.1	Vibrio_parahaemolyticus
GCF_000196095.1	Vibrio_parahaemolyticus_RIMD_2210633
GCF_009665455.1	Vibrio_vulnificus
GCF_009665475.1	Vibrio_vulnificus
GCF_002204915.1	Vibrio_vulnificus
